                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.253,                 3.1736,                 2.0414,                 1.4911,                      1,                0.21766,                0.78495,                0.51069,                      1,                0.21766,                0.76426,                0.45781,                 1.1076,                 2.5211,                 2.8653,                 1.6308,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.2182,                 2.0299,                 1.4705,                 1.4185,                  0.363,                0.29043,                0.22385,                0.08465,                0.44689,                0.38462,                0.30879,                0.11632,                 2.1436,                 3.5901,                 4.2492,                 4.0053,              0.0012324,              0.0012324,              0.0012324
                      3,                 1.2521,                 2.0909,                 1.3675,                  1.435,                0.46498,                0.48077,                0.48031,                0.26027,                 0.4856,                0.44231,                0.46086,                0.23303,                 1.6354,                  3.345,                 3.1653,                 2.2858,              0.0017353,              0.0017353,              0.0017353
                      4,                 1.2615,                  2.013,                 1.2335,                 1.4194,                0.76188,                0.76914,                0.79731,                0.42565,                0.74129,                0.77885,                0.82006,                0.50644,                 1.5383,                 3.2127,                 1.7417,                 2.1372,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.2024,                 1.9321,                 1.1233,                 1.3815,                0.73728,                0.68269,                0.69344,                0.33733,                  0.742,                0.69231,                0.68389,                0.35451,                 1.5957,                 2.7258,                 2.1414,                 2.3241,              0.0016287,              0.0016287,              0.0016287
                      6,                 1.1815,                 1.8982,                  1.072,                 1.3578,                0.90201,                0.91346,                0.96001,                0.56765,                 0.8919,                0.90385,                0.95335,                0.52652,                 1.2773,                 2.3644,                 1.1854,                 1.6349,               0.001505,               0.001505,               0.001505
                      7,                 1.1334,                 1.8094,                 1.2212,                 1.4884,                0.89907,                0.92308,                0.96753,                0.61644,                0.89907,                0.92308,                 0.9695,                0.62592,                 1.2132,                 1.7809,                 0.9904,                 1.6892,              0.0013813,              0.0013813,              0.0013813
                      8,                 1.0958,                  1.755,                 1.0521,                  1.478,                0.81395,                0.67307,                0.78063,                0.45586,                0.84158,                0.64423,                 0.7583,                0.45544,                 1.4305,                  1.878,                 1.4118,                 1.8909,              0.0012575,              0.0012575,              0.0012575
                      9,                 1.1243,                 1.7365,                0.99007,                 1.4788,                0.87332,                0.91346,                0.96798,                0.64872,                0.86591,                0.93137,                0.95956,                0.64997,                 1.0828,                 2.1507,                0.82999,                 1.4713,              0.0011337,              0.0011337,              0.0011337
                     10,                  1.092,                 1.7187,                0.90096,                 1.4656,                0.92538,                0.81731,                0.94373,                0.60318,                0.92163,                0.84615,                0.93646,                0.57765,                 1.0764,                 2.3291,                0.87493,                 1.4981,                0.00101,                0.00101,                0.00101
                     11,                 1.0228,                 1.6242,                0.78482,                 1.3599,                0.89326,                0.96559,                0.97607,                 0.6858,                0.90215,                0.97521,                0.98054,                0.68325,                 1.0463,                 1.6943,                0.71814,                 1.4501,             0.00088625,             0.00088625,             0.00088625
                     12,                0.99474,                  1.609,                0.77144,                 1.3659,                0.93617,                0.85577,                0.94091,                0.65502,                0.89733,                0.95192,                0.96137,                0.65776,                 1.0734,                 1.6728,                0.73108,                  1.456,              0.0007625,              0.0007625,              0.0007625
                     13,                0.97319,                 1.5703,                0.71635,                 1.3609,                0.97475,                0.92308,                0.98307,                 0.6768,                0.98491,                0.93269,                0.98934,                0.69244,                 1.0247,                 1.6425,                0.63971,                 1.4349,             0.00063875,             0.00063875,             0.00063875
                     14,                0.95646,                 1.5617,                0.72458,                 1.3312,                 0.9436,                0.98077,                0.99057,                0.70783,                 0.9436,                0.98077,                0.99194,                0.71263,                0.91581,                 1.4441,                0.57327,                 1.3271,               0.000515,               0.000515,               0.000515
                     15,                0.90327,                 1.5036,                0.64064,                 1.2685,                 0.9945,                0.95192,                0.99165,                 0.7018,                 0.9945,                0.95192,                0.99165,                0.70603,                0.96779,                 1.5889,                0.54998,                 1.3411,             0.00039125,             0.00039125,             0.00039125
                     16,                0.90027,                 1.5312,                   0.62,                 1.2832,                 0.9974,                0.96154,                0.99361,                0.71666,                 0.9974,                0.96154,                0.99361,                0.72021,                0.94752,                 1.5029,                0.53604,                 1.3318,              0.0002675,              0.0002675,              0.0002675
